발생년도,경찰서,살인,강도,절도,폭력
2022,서울중부서,1,3,910,1026
2022,서울종로서,2,5,723,847
2022,서울남대문서,0,2,455,480
2022,서울서대문서,5,6,1114,1092
2022,서울혜화서,0,3,590,740
2022,서울용산서,5,7,978,1697
2022,서울성북서,1,0,540,732
2022,서울동대문서,4,2,1556,1566
2022,서울마포서,2,2,1451,2205
2022,서울영등포서,5,10,2062,2415
2022,서울성동서,2,2,979,1086
2022,서울동작서,2,5,1195,1321
2022,서울광진서,6,0,1670,1713
2022,서울서부서,2,2,726,908
2022,서울강북서,5,5,872,1773
2022,서울금천서,2,3,1118,1327
2022,서울중랑서,2,2,1508,1937
2022,서울강남서,6,9,1565,2494
2022,서울관악서,10,9,1966,2567
2022,서울강서서,3,7,1991,2401
2022,서울강동서,5,5,1672,1872
2022,서울종암서,2,1,603,712
2022,서울구로서,11,8,1565,2056
2022,서울서초서,2,3,1616,1710
2022,서울양천서,2,3,1474,1576
2022,서울송파서,2,5,2201,2669
2022,서울노원서,3,3,1504,2206
2022,서울방배서,1,0,305,391
2022,서울은평서,2,3,771,897
2022,서울도봉서,3,0,969,1099
2022,서울수서서,6,2,930,1268
2022,부산중부서,0,5,609,686
2022,부산동래서,1,1,900,1157
2022,부산영도서,3,2,365,598
2022,부산동부서,1,3,560,695
2022,부산진서,7,5,2345,2790
2022,부산서부서,3,1,551,533
2022,부산남부서,4,3,1069,1714
2022,부산해운대서,4,9,1553,1763
2022,부산사상서,6,1,995,1212
2022,부산금정서,4,5,817,868
2022,부산사하서,6,4,828,1333
2022,부산연제서,2,2,975,1550
2022,부산강서서,5,1,416,563
2022,부산북부서,3,1,1079,1019
2022,부산기장서,2,1,626,728
2022,대구중부서,5,3,1215,1078
2022,대구동부서,4,8,1132,1562
2022,대구서부서,1,2,1280,1431
2022,대구남부서,1,6,693,860
2022,대구북부서,1,7,953,847
2022,대구수성서,5,1,1171,1566
2022,대구달서서,3,2,1032,986
2022,대구성서서,3,0,992,1281
2022,대구달성서,2,0,747,790
2022,대구강북서,5,2,572,949
2022,인천중부서,6,3,680,1367
2022,인천미추홀서,12,9,1469,2380
2022,인천남동서,4,5,772,1551
2022,인천부평서,2,2,981,1510
2022,인천서부서,8,4,1312,2876
2022,인천계양서,4,2,735,1271
2022,인천강화서,3,0,175,339
2022,인천연수서,2,1,1226,1370
2022,인천삼산서,4,3,999,1654
2022,인천논현서,5,1,544,958
2022,광주동부서,0,2,610,736
2022,광주서부서,0,2,1123,1476
2022,광주북부서,0,2,1614,1643
2022,광주광산서,3,1,1299,1632
2022,광주남부서,0,3,561,796
2022,대전중부서,8,3,1046,1399
2022,대전동부서,2,7,1252,1225
2022,대전서부서,1,2,1024,1281
2022,대전대덕서,3,1,551,940
2022,대전둔산서,0,2,847,1322
2022,대전유성서,3,2,1313,1591
2022,울산남부서,4,6,987,1793
2022,울산중부서,2,2,664,887
2022,울산울주서,5,1,551,814
2022,울산동부서,0,0,489,734
2022,울산북부서,3,1,581,806
2022,세종북부서,1,0,251,344
2022,세종남부서,4,2,859,568
2022,경기수원중부서,6,5,1416,1635
2022,경기수원남부서,6,3,1879,2806
2022,경기수원서부서,2,0,1408,1897
2022,경기안양동안서,2,0,742,1031
2022,경기안양만안서,3,3,849,1243
2022,경기군포서,2,0,751,1056
2022,경기성남수정서,2,6,1134,1443
2022,경기성남중원서,1,3,876,1345
2022,경기분당서,8,4,1042,1435
2022,경기부천소사서,1,4,848,1093
2022,경기부천원미서,3,7,1993,2756
2022,경기부천오정서,3,0,588,872
2022,경기광명서,4,4,933,1454
2022,경기안산단원서,2,8,1642,2291
2022,경기안산상록서,9,1,1220,1985
2022,경기시흥서,8,8,1854,2849
2022,경기평택서,8,6,2341,3684
2022,경기오산서,3,1,874,1287
2022,경기화성서부서,7,2,1242,1955
2022,경기용인동부서,9,0,1866,2327
2022,경기용인서부서,3,1,867,1156
2022,경기광주서,3,1,982,2163
2022,경기과천서,0,0,213,173
2022,경기의왕서,2,2,219,342
2022,경기하남서,4,5,788,1048
2022,경기이천서,5,0,739,1245
2022,경기김포서,5,2,1468,2142
2022,경기안성서,5,6,629,1152
2022,경기여주서,3,1,310,549
2022,경기양평서,2,3,279,544
2022,경기화성동탄서,3,2,1289,1946
2022,경기의정부서,6,4,1236,2548
2022,경기고양서,5,1,1257,2012
2022,경기일산동부서,5,1,842,1292
2022,경기일산서부서,4,2,387,925
2022,경기남양주남부서,4,2,755,1297
2022,경기남양주북부서,4,4,664,1107
2022,경기파주서,4,3,1214,2236
2022,경기양주서,1,4,425,971
2022,경기동두천서,2,0,344,598
2022,경기구리서,2,1,478,752
2022,경기포천서,2,0,418,717
2022,경기가평서,2,0,131,358
2022,경기연천서,1,1,107,171
2022,강원강릉서,5,2,630,1034
2022,강원고성서,1,0,102,166
2022,강원동해서,3,4,217,508
2022,강원삼척서,1,2,221,352
2022,강원속초서,2,1,331,735
2022,강원양구서,1,0,37,91
2022,강원영월서,1,0,80,159
2022,강원원주서,3,1,1250,1585
2022,강원인제서,0,2,45,98
2022,강원정선서,2,1,163,182
2022,강원철원서,1,0,63,108
2022,강원춘천서,4,4,857,1332
2022,강원태백서,1,0,90,200
2022,강원평창서,0,1,87,187
2022,강원홍천서,1,1,214,302
2022,강원화천서,0,0,54,72
2022,강원횡성서,0,0,169,157
2022,충북괴산서,1,0,244,253
2022,충북단양서,0,0,55,86
2022,충북보은서,1,0,78,103
2022,충북영동서,1,0,95,101
2022,충북옥천서,2,0,109,177
2022,충북음성서,1,2,363,555
2022,충북제천서,2,2,384,564
2022,충북진천서,3,3,224,463
2022,충북청주청원서,2,5,1092,1297
2022,충북청주흥덕서,5,6,1417,1664
2022,충북충주서,3,0,758,896
2022,충북청주상당서,6,8,928,1073
2022,충남천안서북서,12,5,1772,1788
2022,충남천안동남서,4,7,1296,1176
2022,충남서산서,6,5,520,858
2022,충남아산서,9,3,1264,1302
2022,충남논산서,2,0,458,535
2022,충남공주서,0,0,332,391
2022,충남보령서,1,1,252,408
2022,충남당진서,5,1,407,782
2022,충남홍성서,0,0,311,314
2022,충남예산서,0,0,242,282
2022,충남부여서,0,0,213,196
2022,충남서천서,0,1,161,221
2022,충남금산서,2,1,126,182
2022,충남청양서,1,1,89,103
2022,충남태안서,1,0,210,295
2022,전북고창서,2,0,144,182
2022,전북군산서,6,2,876,1153
2022,전북김제서,5,2,166,313
2022,전북남원서,1,0,232,373
2022,전북무주서,0,0,45,80
2022,전북부안서,1,0,163,188
2022,전북순창서,0,0,47,65
2022,전북완주서,2,1,115,298
2022,전북익산서,4,3,968,1230
2022,전북임실서,0,0,51,85
2022,전북장수서,0,0,43,55
2022,전북전주덕진서,6,2,1162,1205
2022,전북전주완산서,3,1,1025,1339
2022,전북정읍서,2,0,546,390
2022,전북진안서,1,0,46,62
2022,전남목포서,5,2,1363,1611
2022,전남여수서,5,0,801,1417
2022,전남순천서,4,7,965,1548
2022,전남나주서,0,0,419,467
2022,전남광양서,3,1,445,694
2022,전남고흥서,0,0,135,256
2022,전남해남서,2,2,234,306
2022,전남무안서,1,1,301,287
2022,전남장흥서,0,0,114,163
2022,전남보성서,1,0,73,114
2022,전남영광서,1,0,152,202
2022,전남화순서,1,0,166,237
2022,전남함평서,0,0,123,143
2022,전남영암서,1,0,158,260
2022,전남장성서,0,0,96,146
2022,전남강진서,0,0,95,141
2022,전남담양서,3,0,148,141
2022,전남곡성서,1,0,45,65
2022,전남완도서,1,0,162,266
2022,전남진도서,0,0,103,163
2022,전남구례서,0,0,54,100
2022,경북경주서,1,1,1208,1069
2022,경북포항북부서,5,0,1162,946
2022,경북포항남부서,2,3,1341,881
2022,경북구미서,6,3,1748,1933
2022,경북경산서,1,2,1014,1249
2022,경북안동서,2,0,443,765
2022,경북김천서,2,0,493,527
2022,경북영주서,0,1,244,403
2022,경북영천서,2,1,283,533
2022,경북상주서,1,0,350,351
2022,경북문경서,1,0,180,227
2022,경북칠곡서,2,2,385,483
2022,경북의성서,0,0,91,171
2022,경북청도서,3,0,93,162
2022,경북영덕서,1,0,138,182
2022,경북울진서,1,1,163,184
2022,경북봉화서,0,0,36,84
2022,경북예천서,1,0,124,155
2022,경북성주서,2,0,131,192
2022,경북청송서,0,1,40,111
2022,경북영양서,0,0,42,70
2022,경북군위서,0,0,34,74
2022,경북고령서,2,0,93,103
2022,경북울릉서,0,0,10,36
2022,경남창원중부서,3,8,980,1209
2022,경남창원서부서,6,1,790,757
2022,경남마산중부서,2,2,440,840
2022,경남마산동부서,4,0,743,999
2022,경남진주서,4,0,2116,1671
2022,경남김해중부서,6,3,1888,1335
2022,경남김해서부서,2,1,878,1038
2022,경남양산서,4,0,1149,1573
2022,경남거제서,3,3,792,1149
2022,경남진해서,1,1,471,790
2022,경남통영서,1,5,383,745
2022,경남사천서,2,1,337,544
2022,경남밀양서,3,1,307,479
2022,경남거창서,0,0,114,209
2022,경남합천서,0,1,85,155
2022,경남창녕서,0,0,180,230
2022,경남고성서,1,0,169,217
2022,경남하동서,0,0,86,177
2022,경남남해서,2,0,39,104
2022,경남함양서,0,0,68,131
2022,경남산청서,0,1,68,111
2022,경남함안서,0,1,113,243
2022,경남의령서,0,0,66,127
2022,제주서귀포서,4,1,888,1392
2022,제주동부서,3,2,957,2113
2022,제주서부서,4,2,1281,1843
